date,header,rating,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,wifi_&_connectivity,value_for_money,recommended,inflight_entertainment,verified_status,review_content,textblob_sentiment,vader_sentiment,rating_sentiment,year,departure,departure_country,arrival,arrival_country,via,is_domestic
2024-06-09,not a single aspect this airline does well,1,Not informed,Solo Leisure,Economy Class,Auckland to Sydney,June 2024,2.0,2.0,1.0,1.0,2.0,1.0,False,1.0,True,These guys shouldn’t be allowed to use New Zealand. It’s embarrassing and tricks New Zealanders into having brand loyalty to them. There’s not a single aspect this airline does well. Never thought the day would come when I would say this but you’re better off saving some money and flying Jetstar.,Positive,Positive,Negative,2024,auckland,NZ,sydney,AU,,False
2024-05-18,an airline to avoid,3,Not informed,Business,Economy Class,Gold Coast to Auckland,May 2024,3.0,1.0,3.0,2.0,5.0,2.0,False,5.0,True,"I travel often and fly with many airlines. Air New Zealand has to be the worst in condescending service and unnecessary process. I’m writing this review after 5 flights with them in the last 10 days (and unfortunately another 3 to go). The boarding process is peculiar with word choices such as “you can board when invited”. To be clear I wait till I’m called and don’t understand the notion of people jumping queues. But the word choice of invite is the first passive aggressive experience as part of the flight experience A week ago I flew Air NZ and for the first time in my life I was reprimanded by the hostess for not watching (I was listening) the in flight safety. I told her I’m listening and she said “well you should watch” Checking in today my bag was 32.7kg. I appreciate there needs to be a limit, but there’s no discretion. I’m flying business class for a three week trip. I then removed a few items and the scale said 32.0kg. I was then told it has to be under 32 which necessitated me to refute that point. Grudgingly, the person then put the case through and gave me the *sigh* treatment. Getting onto the flight, the first thing the host says is the incoming flight’s passengers “ was a 9 out of 10, so you have a high standard to live up to”. Whilst I 100% understand this was meant in humour, it’s symptomatic of an airline that doesn’t want to serve. These experiences alongside poor food on the flights, no pyjamas on overnight business and frankly the weirdest business class layout with no privacy makes this an airline to avoid. Unless of course you want to feel like you’re being done a favour for something you paid for. It’s relatively good value for money (at prices that are still stubbornly high) but you need to take into consideration the places they skimp on. Compares very poorly to leaders in the industry such as Qatar, Emirates and Singapore Air.",Negative,Positive,Negative,2024,gold coast,AU,auckland,NZ,,False
2024-05-17,Highly unreliable schedule,1,Not informed,Business,Economy Class,Auckland to Melbourne,May 2024,3.0,2.0,1.0,1.0,3.0,1.0,False,1.0,False,Highly unreliable schedule with long delays which is my first priority for traveling. This business has wasted many hours of my time over the past year and always broke my plans during trips. They will be my last choice in future travels.,Positive,Negative,Negative,2024,auckland,NZ,melbourne,AU,,False
2024-05-17,Seat was spacious and comfortable,8,Boeing 787,Solo Leisure,Premium Economy,Tokyo to Auckland,May 2024,4.0,4.0,5.0,4.0,-1.0,5.0,True,5.0,True,"A good, easy flight in Premium Economy. Seat was spacious and comfortable. Food was good - we were served dinner and breakfast, and each meal consisted of a choice of 3 main dishes, along with various side dishes - they were plentiful and generous, and the quality was excellent.  There was a choice of 5 wines (possibly the same selection as Economy Class) served in glassware. Service was polite and efficient, but not particularly warm or energetic - but still, nothing to complain about. The IFE was excellent - a really good selection of new movies, including some great 'alternative' cinema. A good flight, and departed and arrived on time.",Positive,Positive,Positive,2024,tokyo,JP,auckland,NZ,,False
2024-05-12,Air hostess totally ignored myself,5,Boeing 787,Solo Leisure,Economy Class,Denpasar Bali to Auckland,March 2024,4.0,1.0,2.0,3.0,3.0,3.0,False,4.0,True,"Air hostess totally ignored myself and guy behind me, spent more time looking at the carpet.  On the other route hostess were too busy, so much for touch screen ordering, if it doesn't work then why have it. The hostess often walked pass going to forward cabins with drinks etc. Seats were fine and plane was on time",Positive,Negative,Neutral,2024,denpasar bali,,auckland,NZ,,False
2024-05-12,treated me very disrespectful,6,Not informed,Family Leisure,Economy Class,Singapore to Auckland,May 2024,3.0,1.0,4.0,5.0,5.0,3.0,True,5.0,True,"I am using the Air New Zealand from past 20 years. One of the cabin crew was very rude when requested for something missing in my plate, she treated me very disrespectful and told me they carry limited food on the plane, which I understand.  When I requested to change my son's food, she said no, no sorry or thank you. I felt like she treated me like first time I am on plane. Rest of the staff fine and they understand the NZ level of Customer service.",Positive,Negative,Neutral,2024,singapore,SG,auckland,NZ,,False
2024-05-04,"slightly unpleasant oddness""",6,Boeing 777-300 ER,Business,Business Class,Sydney to Los Angeles via Auckland,May 2024,4.0,3.0,4.0,2.0,3.0,3.0,False,2.0,True,"Whilst being at the front of the plane with a flat bed is always much better than otherwise, be prepared for the slightly unpleasant oddness that is biz class on Air New Zealand. In short. Because of the herringbone forward facing layout. You look at other people's feet whilst seated and b. If you have a window seat you have to turn your head 120 degrees to see out of the window. On this flight they gave socks as a gift in the business cabin One could assume this is a mitigation strategy for all the visible feet. Flat bed is very comfortable. Some staff seem overly busy and rushed, later in the flight things seemed better from a service perspective, however the little things i have come to expect in business class arent here. Such as a personal welcome and staff knowing my name. Food, Surprisingly good. Wine unsurprisingly, excellent.",Positive,Positive,Neutral,2024,sydney,AU,los angeles,US,Auckland,False
2024-04-09,suggest avoiding Air New Zealand,1,Not informed,Couple Leisure,Economy Class,Auckland to Melbourne,March 2024,2.0,1.0,-1.0,1.0,2.0,1.0,False,1.0,True,"I had a concerning experience with Air New Zealand. It seems they prioritize cost-cutting over customer satisfaction, as they will try to switch you to a cheaper flight whenever possible. I was put in this situation and had no choice but to accept the change if I wanted to get back home. Moreover, I received poor treatment from their staff, which was disappointing and almost discriminatory. Their customer service did not address my concerns adequately. I suggest avoiding Air New Zealand and suggest looking at other airlines like Qantas or Jetstar.",Negative,Negative,Negative,2024,auckland,NZ,melbourne,AU,,False
2024-03-22,Never fly with them again!,1,A330,Family Leisure,Economy Class,Sydney to Christchurch,March 2024,2.0,1.0,1.0,3.0,1.0,1.0,False,2.0,True,"I travelled with Air Newland a number of times in the past and was generally happy with their service. But I was very disappointed this time when I took my parents to South Island. We paid over A$700 for return tickets, during the 3 hours flights, we had to buy the food and drink ourselves. It looks that Air NZ is so desperate for money and greedy. In addition, the services provided were just as the budget airlines. Never fly with them again!",Negative,Negative,Negative,2024,sydney,AU,christchurch,NZ,,False
2024-02-04,A comfortable flight,9,Not informed,Couple Leisure,Economy Class,Rarotonga to Sydney via Auckland,February 2024,5.0,5.0,5.0,5.0,-1.0,4.0,True,5.0,True,"A comfortable flight in a well appointed aircraft. Great range of TV and movies. Staff professional and regularly offering water. We had paid more than the Jetstar offering and you do get what you pay for. We had booked “the works” meaning meals and entertainment were included. Staff were visible, great in seeing who did not and who did have the works",Positive,Positive,Positive,2024,rarotonga,,sydney,AU,Auckland,False
2024-01-29,Poor communication,2,Not informed,Solo Leisure,Economy Class,Melbourne to Auckland,January 2024,3.0,4.0,4.0,1.0,4.0,3.0,False,2.0,True,"5.5 hour delay. Poor communication. No vouchers offered. Customer service only offered apologies, which is acceptable for 2 hour delay but this is ridiculous",Negative,Negative,Negative,2024,melbourne,AU,auckland,NZ,,False
2024-01-28,An incredibly painful process,3,Not informed,Couple Leisure,Economy Class,Christchurch to Los Angeles,December 2023,3.0,4.0,4.0,4.0,3.0,2.0,False,4.0,False,"An incredibly painful process. I understand that people are very busy, but the wait times were so long that my case was passed around multiple agents and it felt like they came to the case without paying any attention to the messages that had already transpired. It did not feel like the agents had taken time to read what had already been discussed and the information I was being given was inconsistent depending on who I was talking to. I have lost time and money in this process and have come away feeling very frustrated. If you didn't have a monopoly on air travel in NZ, you would have lost a customer today.",Negative,Negative,Negative,2024,christchurch,NZ,los angeles,US,,False
2024-01-18,again I am disappointed,3,Not informed,Family Leisure,Economy Class,Auckland to Tokyo,January 2024,2.0,2.0,2.0,1.0,1.0,1.0,False,3.0,False,"Unfortunately again I am disappointed. Flight to Tokyo was delayed due to technical condition of the plane. Return- cancelled with no support (no alternative flight, explanation, etc). Helpline not working. Eventually I managed to book a flight with Quantas to avoid being stuck in Tokyo on my own cost - good I have insurance. Never again as in previous flights to NY ANZ did similar thing.",Negative,Negative,Negative,2024,auckland,NZ,tokyo,JP,,False
2024-01-15,flight credit rather than a refund,1,Not informed,Solo Leisure,Economy Class,Brisbane to Queenstown,February 2023,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,-1.0,False,"Booked flights and the airline cancelled my ticket. all I got was flight credit rather than a refund, now the prices have gone up and I have to pay almost double for the same flights I originally purchased.",Positive,Positive,Negative,2024,brisbane,AU,queenstown,NZ,,False
2024-01-15,customer service was abysmal,1,Not informed,Family Leisure,Economy Class,Auckland to GIsborne,January 2024,1.0,2.0,-1.0,1.0,-1.0,1.0,False,-1.0,False,"My son was on NZ8161 to Gisborne on 15/1/24. We PAID extra as he was an unaccompanied minor - Harlan Pere. Hes 11 [his brother was travelling with him but he is 13]. Checked in for the flight at special assistance as normal. Flight was slightly delayed. Then flight was called. Lined the boys up in the line but was very surprised as all their previous flights - [a couple of times a year for the last several years] unaccompanied minors have been called first. EVERY SINGLE TIME! When the boys got to the gate and swiped their boarding passes, that's when the gate agent realised there was a minor on the flight. Kelly, the most unprofessional, rude and disgustingly inept gate agent I have ever met, then decided the boys needed to stand to the side and be boarded last. THIS HAS NEVER HAPPENED BEFORE! When we queried why they weren't called first Kelly informed me that Air NZ never calls for unaccompanied minors before a flight and she had never done this in her 8 years working there. THIS IS A LIE! When I asked to speak to a supervisor she said she was the supervisor. When I asked for someone higher up to make a complaint Kelly told me she was the highest person. When I asked for the name of her supervisor so I could make a complaint she refused to give me this information as well as her last name. All of this was getting very loud - she was just as loud, and I had to tell her several times to listen to what I was saying and not talk over me. At this stage there is approx 200 people in the AIR NZ departure lounge listening to this heated discussion. As well as the boys who were confused why there were being held back. No one explained it to them from Air NZ. I went back to the Special assistance desk and they pointed me to the Premium check in desk and I spoke to Marianne - Team Manager - who listened and confirmed that Kellys behaviour, attitude and customer service was abysmal. Several people I don't know came up to me after and said it was shocking and I should complain about Kelly and her incompetent service. Mariana did her best to listen but Kelly is disgraceful. I have paid extra for this service, been lied to, been yelled at, been dismissed and made to feel like we were the issue as we didnt bring him up sooner when we were never informed by Special Assistance this was now a requirement. If the policy has changed [which Mariana confirmed hadn't] or Kelly didn't pick up there were unaccompanied Minors on the flight all she had to do was apologise and say a mistake was made. Not flat out argue and lie in front of 200 people that she was right and MINORS HAVE NEVER BEEN called in her 8 years doing the job.",Positive,Negative,Negative,2024,auckland,NZ,gisborne,NZ,,True
2023-12-29,certainly will not fly them again,1,Not informed,Couple Leisure,Economy Class,Christchurch to Auckland,December 2023,3.0,3.0,-1.0,1.0,-1.0,1.0,False,-1.0,True,"I would strongly recommend avoiding Air New Zealand if possible. I certainly will not fly them again - my experience was so poor that I will go so far as to change my travel plans to avoid flying with them. My first concern is the nickel and diming that this greedy airline does for its customer. In fact, I say Air New Zealand is worse than Spirit Airline in this regard. Your ticket gets you a seat only - you need to pay extra for a suitcase, a seat to ensure you and anyone you are traveling with can sit together (yes, they will separate you even if you purchase tickets together), and changes (even if the other flight has open seats). My second concern is the abysmal customer service. Gate agents are unable to help and require you to leave security for any and all questions. My gate agent was lovely enough to yell at me that she would not be able to help me before I even asked my question (I wish I was exaggerating). My experience with the help desk was worse. I waited for 10 minutes as two free agents refused to help the line. I also had two separate agents help men before me who walked up to the desk after those of us in line had already been waiting 10+ minutes. When I did finally get them to be willing to help me, they refused to answer my question of how much it would cost to switch flights to an earlier one. Their response was a condescending, “too much, hun. Your flight is only in two hours. Why don’t you just wait?” My third complaint is the lack of respect to inform customers of delays in a timely manner. My flight was supposed to board at 1:40 pm. At 1:35 pm, we were informed that the previously flight was arriving late and we would be delayed by an hour. Note, they had also known about this for at least 45 minutes, but refused to share the information.",Negative,Positive,Negative,2023,christchurch,NZ,auckland,NZ,,True
2023-11-30,flight was superb,9,Not informed,Solo Leisure,Economy Class,Chicago to Auckland,November 2023,4.0,5.0,5.0,5.0,4.0,4.0,True,5.0,True,"I'd booked air NZ being Koru but I ended up paying 75Euro from Dublin so this was disappointing hence the one point down instead of 10 which is very generous as Koru isn't cheap. I flew along way and still flying (Air NZ) tomorrow to get to my island roughly 33 hours flying. Anyhow, to the NZ27 flight - from the get go the Male Purser/Manager was fantastic. All staff in economy treated you like you mattered which is rare. Spoilt throughout the night to have staff come down the aisles asking if wanted a snack and water, and then attended when you requested another drink. The rapport already with customers excellent esp. with families - massive credit to the empathy and compassion to accommodate and treat your clients like each one mattered. The ability for me to connect to do my work over the 15.5 hour flight was superb and the fact we didn't have to pay internet was a great Xmas treat. Thank you so much for restoring faith in the airline (albeit it's fine re: the Koru thing) but just the service. Fakaue lahi mahaki/Thank you.",Positive,Positive,Positive,2023,chicago,US,auckland,NZ,,False
2023-11-15,change flights with no notice,1,Not informed,Business,Business Class,Auckland to Sydney,November 2023,2.0,3.0,1.0,1.0,1.0,1.0,False,2.0,False,"This used to be so good, but now they just love their monopoly position and totally ignore customers. They change flights with no notice and do not even try to accommodate passengers, you are left totally on your own",Positive,Positive,Negative,2023,auckland,NZ,sydney,AU,,False
2023-11-07,Service was very slow,7,Boeing 787-9,Couple Leisure,Economy Class,Singapore to Auckland,October 2023,4.0,5.0,4.0,5.0,2.0,4.0,True,2.0,True,"A connecting flight at SIN, we had to change terminals but we had just enough time to board the plane. Boarding was done by groups (first Business and Gold members and then according the row). Economy seats were standard, there were pillow and blanket, and also there were ear phones (not great quality) on the seats. We left the gate on time but were taxing almost 45 minutes. Service started after one hour and was very slow. First serving special meals and then the rest, but after almost 20 minutes. You had to wait for dinks for a long time. There was option of 2 meals and for drinks there was beer and wine and beverages. I can not get used to wooden utensils. Cabin crew was very attending and friendly but there were only 3 on each corridor serving and the rest in the galley. IFE was limited and outdated, should do something better. Two hours before landing they started second meal and were OK because they were slow so it was just enough time before landing. Announcements from the pilot was just enough. It was an all right flight and if the cabin crew was not so friendly it could be an indifferent flight. IFE should be upgraded.",Positive,Positive,Neutral,2023,singapore,SG,auckland,NZ,,False
2023-11-07,Cabin crew was very friendly,8,A321N,Couple Leisure,Economy Class,Auckland to Queenstown,October 2023,4.0,5.0,3.0,3.0,2.0,4.0,True,-1.0,True,"Check in was done by machines and dropping of the suitcase was done by yourself. Plane was a new and clean A321neo. Boarding was done from the front door up to raw 15 by aerobridge and the rest rows from the back door with a stair. Cabin crew was very friendly. There was no WiFi but there was a Bluetooth option. Service was a coffee, water option with cookie or bar option. The pilot was describing the route and what we were seeing. It was a great flight.",Positive,Positive,Positive,2023,auckland,NZ,queenstown,NZ,,True
2023-10-23,shocked at how bad it has become,1,Not informed,Solo Leisure,Economy Class,Auckland to Palmerston North,October 2023,2.0,1.0,-1.0,1.0,-1.0,2.0,False,-1.0,False,"Air New Zealand seems to have slipped badly since I last used the airline. I was accompanying an infrequent flyer. We printed bag tags at the kiosk. There was no indication that there was also a boarding pass printed out. No indication of what bag drop to go to. No gate number on the boarding pass. The service and assistance of Air New Zealand staff at Auckland Airport is zero. They prefer to stand around chatting to each other and ignore passengers. They just wave their arm in the general direction of where you're meant to go. No proper instructions. When I said that it was a shoddy system the staff member just laughed and said move along. The staff I spoke to were very rude and dismissive. Also, the staff member at the gate did not take kindly to being asked whether passengers could go to the gate. There is no information on what bag drop to go to. Constantly had to walk around looking for staff to ask who waved in the general direction of a bag drop or where to find the gate reference. I have heard that Air New Zealand service has deteriorated but was shocked at how bad it has become.",Negative,Negative,Negative,2023,auckland,NZ,palmerston north,NZ,,True
2023-10-22,Will not fly again,1,Not informed,Business,Business Class,Auckland to Tokyo,October 2023,1.0,3.0,1.0,1.0,2.0,1.0,False,2.0,False,"Pick up your own bags each connecting flight. Pay high money for the ticket, but don't expect the airline to send your luggage to your final destination. Company is cheap and will probably face problems anyway. Will not fly again.",Positive,Negative,Negative,2023,auckland,NZ,tokyo,JP,,False
2023-10-20,incapable of leaving on time,5,A321,Couple Leisure,Economy Class,Auckland to Sydney,October 2023,4.0,4.0,-1.0,5.0,4.0,3.0,False,-1.0,False,"This airline is incapable of leaving on time. This is my 4th flight in one week, all have left late, one by an hour. They can't even meet their own revised times. Sydney to Auckland last week was delayed from 9.20 to 10am 3 hours before, pushed back around 10.20. Auckland/Sydney today at 7.55pm was delayed to 8.20pm around 7.55, it's now 8.30 and we're still not pushed back.",Positive,Negative,Neutral,2023,auckland,NZ,sydney,AU,,False
2023-10-08,service became terrible since Covid-19,1,Boeing 787,Business,Economy Class,Auckland to Singapore,October 2023,3.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,I have been flying only on Air New Zealand for business and it will be the last time. The service became terrible since Covid-19. The recognition upgrade are not processed in time for frequent flyers. Arrogant aircrew when you raise the issue,Negative,Negative,Negative,2023,auckland,NZ,singapore,SG,,False
2023-10-06,total lack of empathy and compassion,1,Not informed,Family Leisure,Economy Class,Wellington to Auckland,October 2023,1.0,-1.0,-1.0,1.0,-1.0,1.0,False,-1.0,False,"My 19 year old daughter's domestic flight home from Wellington was cancelled twice leaving her stranded in the airport overnight. She tried to explain to Air NZ staff that she was travelling alone and had no money to stay in the airport hotels the response was ""as per our policy we are not obligated to provide you with overnight accommodation as the flights are canceled due to weather conditions"". I tried calling the customer service line on her behalf and waited an hour to speak to a human being. When I explained that she had an urgent medical appointment the next day and that she suffered from anxiety and other mental health issues the customer service rep rang and spoke to the team leader at the airport to ask if they could at least sort somewhere for her to stay. The team leader then informed my daughter that she would need to stay in the airport and return to the desk the following morning and they would try get her on a flight so she could make her medical appointment. When my daughter asked if she could at least gain access to the Koru Lounge as she was scared of being alone she was told ""no"". Feeling totally overwhelmed, stressed to the max and upset she was left totally alone in the airport terminal overnight as the Air NZ staff went home. A kind security guard fetched her a blanket and a policeman stopped to ask if she was ok as she lay on the ground trying to get some rest in an empty terminal. She was even asked to move from the couch outside the Rydges Wellington Airport hotel and told ""it wasn't a good look for the hotel having someone lying down"" (at 3am in the morning). The morning flight was full so she ended up missing her appointment and receiving the treatment she desperately needed and spent a total of 24 hours marooned at the airport alone. Whether your policy states you are not obliged to offer accommodation Air NZ, shame on you for leaving a vulnerable young woman alone in the airport! As a parent I'm disgusted at your total lack of empathy and compassion. I will not be using Air NZ again if there is another alternative.",Negative,Negative,Negative,2023,wellington,NZ,auckland,NZ,,True
2023-10-02,airline has declined significantly,1,Not informed,Family Leisure,Economy Class,Melbourne to Los Angeles via Auckland,September 2023,2.0,1.0,1.0,1.0,1.0,1.0,False,-1.0,True,"My tickets clearly stated 2 x 23kgs checked bags per person but on check in on the first flight we were told we could only check one bag each. After some time and effort we did manage to get our bags checked. I asked would we have issues on the other 3 flights we had booked was was told yes, even though the ticket is clear. I called customer service and was directed to leave a voicemail and someone would ring me back within 72 hours. There has been no reply - 19 days later. I called again the day before we were due to check in on the next leg of our trip. Customer service is very busy for air New Zealand and once you get through it takes on hour on hold to get to speak to someone. The person spent an hour looking at the issue and advised he had fixed it and there would be no issue at the next check in. He even confirmed in a voice mail. But when we arrived at the airport we were made to pay for the bags and was advised we were only entitled to one checked bag each. I showed the tickets and asked that they look on the computer as a note had been left - all to no avail so we paid $88 US per extra bag and then tried to claim this back from air New Zealand. I managed to make contact with the CFO and was assured a refund would occur that day and that we would have no further issues. I got the refund a week later after chasing it up myself. At the next airport we were again asked to pay for the bags and would have paid if it wasn’t for a lovely staff member from the codeshare airline who out the bags through as checked hand luggage which she could put through as free. I again contacted air New Zealand and they just make assurances this will never happen again but they are 3 for 3 so far. They offered $150 airport dollars to spend on a future flight with air New Zealand which we will obviously never use. On the outgoing long haul flight Auckland to Los Angeles there was no water or snacks offered. I managed to get a total of just 600 mls of fluid across the 13 hours. They did offer as much wine as you could drink but I don’t drink and alcohol is dehydrated anyway. We also paid for stretch seats where you should have more leg room but in these seats you board last so there was no overhead locker space as many passengers took on 2 x hand luggage to be stowed above. Our paid for space was filled with our one hand luggage bag. This airline has declined significantly from when we last used them. The stretch seats are not worth the additional costs. They are unable to fix the baggage allocations on your ticket and that they advertise on the website with the check in computers and do not care. I would never use this airline, it’s just not worth it.",Positive,Positive,Negative,2023,melbourne,AU,los angeles,US,Auckland,False
2023-09-18,pure and simply daylight robbery,4,Not informed,Couple Leisure,Economy Class,Sydney to Queenstown,July 2023,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,False,-1.0,True,"My wife and I fly regularly with Air NZ back and forth to Queenstown. We have flights for December 2nd 2023 and we now want to leave on November 30th 2023. Our original flight costs are $541.62 in total for one way flights for both passengers but when we go to change the dates by three days Air NZ are asking for a change fee of $601.72 to make the change. This is pure and simply daylight robbery. Furthermore the website will let you book a car, hotel and many other options but you cannot cancel and credit the flight online.",Positive,Neutral,Neutral,2023,sydney,AU,queenstown,NZ,,False
