date,header,rating,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended,aircraft,verified_status,review_content,combined_content,textblob_sentiment,vader_sentiment,rating_sentiment,year
2024-06-11,they still withdrew the funds,2,Solo Leisure,Economy Class,Auckland to Tahiti,June 2024,5.0,5.0,1.0,-1.0,5.0,5.0,1.0,False,Boeing 789,False,they still withdrew the funds i put in a bid for an upgrade using their one up program on the day of travel they emailed me to say my bid was not successful however they still withdrew the funds from my account for the upgrade now i am in a position where i am asking an airline to make a refund we all know how difficult and time consuming that is,"they still withdrew the funds I put in a bid for an upgrade using their “one up” program. On the day of travel they emailed me to say my bid was not successful. However, they still withdrew the funds from my account for the upgrade. Now I am in a position where I am asking an airline to make a refund. We all know how difficult and time consuming that is.",Negative,Negative,Negative,2024
2024-06-09,not a single aspect this airline does well,1,Solo Leisure,Economy Class,Auckland to Sydney,June 2024,2.0,2.0,1.0,1.0,1.0,2.0,1.0,False,,True,not a single aspect this airline does well these guys shouldnt be allowed to use new zealand its embarrassing and tricks new zealanders into having brand loyalty to them theres not a single aspect this airline does well never thought the day would come when i would say this but youre better off saving some money and flying jetstar,not a single aspect this airline does well These guys shouldn’t be allowed to use New Zealand. It’s embarrassing and tricks New Zealanders into having brand loyalty to them. There’s not a single aspect this airline does well. Never thought the day would come when I would say this but you’re better off saving some money and flying Jetstar.,Positive,Positive,Negative,2024
2024-05-18,an airline to avoid,3,Business,Economy Class,Gold Coast to Auckland,May 2024,3.0,1.0,3.0,5.0,2.0,5.0,2.0,False,,True,an airline to avoid i travel often and fly with many airlines air new zealand has to be the worst in condescending service and unnecessary process im writing this review after 5 flights with them in the last 10 days and unfortunately another 3 to go the boarding process is peculiar with word choices such as you can board when invited to be clear i wait till im called and dont understand the notion of people jumping queues but the word choice of invite is the first passive aggressive experience as part of the flight experience a week ago i flew air nz and for the first time in my life i was reprimanded by the hostess for not watching i was listening the in flight safety i told her im listening and she said well you should watch checking in today my bag was 327kg i appreciate there needs to be a limit but theres no discretion im flying business class for a three week trip i then removed a few items and the scale said 320kg i was then told it has to be under 32 which necessitated me to refute that point grudgingly the person then put the case through and gave me the sigh treatment getting onto the flight the first thing the host says is the incoming flights passengers was a 9 out of 10 so you have a high standard to live up to whilst i 100 understand this was meant in humour its symptomatic of an airline that doesnt want to serve these experiences alongside poor food on the flights no pyjamas on overnight business and frankly the weirdest business class layout with no privacy makes this an airline to avoid unless of course you want to feel like youre being done a favour for something you paid for its relatively good value for money at prices that are still stubbornly high but you need to take into consideration the places they skimp on compares very poorly to leaders in the industry such as qatar emirates and singapore air,"an airline to avoid I travel often and fly with many airlines. Air New Zealand has to be the worst in condescending service and unnecessary process. I’m writing this review after 5 flights with them in the last 10 days (and unfortunately another 3 to go). The boarding process is peculiar with word choices such as “you can board when invited”. To be clear I wait till I’m called and don’t understand the notion of people jumping queues. But the word choice of invite is the first passive aggressive experience as part of the flight experience A week ago I flew Air NZ and for the first time in my life I was reprimanded by the hostess for not watching (I was listening) the in flight safety. I told her I’m listening and she said “well you should watch” Checking in today my bag was 32.7kg. I appreciate there needs to be a limit, but there’s no discretion. I’m flying business class for a three week trip. I then removed a few items and the scale said 32.0kg. I was then told it has to be under 32 which necessitated me to refute that point. Grudgingly, the person then put the case through and gave me the *sigh* treatment. Getting onto the flight, the first thing the host says is the incoming flight’s passengers “ was a 9 out of 10, so you have a high standard to live up to”. Whilst I 100% understand this was meant in humour, it’s symptomatic of an airline that doesn’t want to serve. These experiences alongside poor food on the flights, no pyjamas on overnight business and frankly the weirdest business class layout with no privacy makes this an airline to avoid. Unless of course you want to feel like you’re being done a favour for something you paid for. It’s relatively good value for money (at prices that are still stubbornly high) but you need to take into consideration the places they skimp on. Compares very poorly to leaders in the industry such as Qatar, Emirates and Singapore Air.",Negative,Positive,Negative,2024
2024-05-17,Highly unreliable schedule,1,Business,Economy Class,Auckland to Melbourne,May 2024,3.0,2.0,1.0,1.0,1.0,3.0,1.0,False,,False,highly unreliable schedule highly unreliable schedule with long delays which is my first priority for traveling this business has wasted many hours of my time over the past year and always broke my plans during trips they will be my last choice in future travels,Highly unreliable schedule Highly unreliable schedule with long delays which is my first priority for traveling. This business has wasted many hours of my time over the past year and always broke my plans during trips. They will be my last choice in future travels.,Positive,Negative,Negative,2024
2024-05-17,Seat was spacious and comfortable,8,Solo Leisure,Premium Economy,Tokyo to Auckland,May 2024,4.0,4.0,5.0,5.0,4.0,-1.0,5.0,True,Boeing 787,True,seat was spacious and comfortable a good easy flight in premium economy seat was spacious and comfortable food was good we were served dinner and breakfast and each meal consisted of a choice of 3 main dishes along with various side dishes they were plentiful and generous and the quality was excellent there was a choice of 5 wines possibly the same selection as economy class served in glassware service was polite and efficient but not particularly warm or energetic but still nothing to complain about the ife was excellent a really good selection of new movies including some great alternative cinema a good flight and departed and arrived on time,"Seat was spacious and comfortable A good, easy flight in Premium Economy. Seat was spacious and comfortable. Food was good - we were served dinner and breakfast, and each meal consisted of a choice of 3 main dishes, along with various side dishes - they were plentiful and generous, and the quality was excellent.  There was a choice of 5 wines (possibly the same selection as Economy Class) served in glassware. Service was polite and efficient, but not particularly warm or energetic - but still, nothing to complain about. The IFE was excellent - a really good selection of new movies, including some great 'alternative' cinema. A good flight, and departed and arrived on time.",Positive,Positive,Positive,2024
2024-05-12,Air hostess totally ignored myself,5,Solo Leisure,Economy Class,Denpasar Bali to Auckland,March 2024,4.0,1.0,2.0,4.0,3.0,3.0,3.0,False,Boeing 787,True,air hostess totally ignored myself air hostess totally ignored myself and guy behind me spent more time looking at the carpet on the other route hostess were too busy so much for touch screen ordering if it doesnt work then why have it the hostess often walked pass going to forward cabins with drinks etc seats were fine and plane was on time,"Air hostess totally ignored myself Air hostess totally ignored myself and guy behind me, spent more time looking at the carpet.  On the other route hostess were too busy, so much for touch screen ordering, if it doesn't work then why have it. The hostess often walked pass going to forward cabins with drinks etc. Seats were fine and plane was on time",Positive,Negative,Neutral,2024
2024-05-12,treated me very disrespectful,6,Family Leisure,Economy Class,Singapore to Auckland,May 2024,3.0,1.0,4.0,5.0,5.0,5.0,3.0,True,,True,treated me very disrespectful i am using the air new zealand from past 20 years one of the cabin crew was very rude when requested for something missing in my plate she treated me very disrespectful and told me they carry limited food on the plane which i understand when i requested to change my sons food she said no no sorry or thank you i felt like she treated me like first time i am on plane rest of the staff fine and they understand the nz level of customer service,"treated me very disrespectful I am using the Air New Zealand from past 20 years. One of the cabin crew was very rude when requested for something missing in my plate, she treated me very disrespectful and told me they carry limited food on the plane, which I understand.  When I requested to change my son's food, she said no, no sorry or thank you. I felt like she treated me like first time I am on plane. Rest of the staff fine and they understand the NZ level of Customer service.",Positive,Negative,Neutral,2024
2024-05-04,"slightly unpleasant oddness""",6,Business,Business Class,Sydney to Los Angeles via Auckland,May 2024,4.0,3.0,4.0,2.0,2.0,3.0,3.0,False,Boeing 777-300 ER,True,slightly unpleasant oddness whilst being at the front of the plane with a flat bed is always much better than otherwise be prepared for the slightly unpleasant oddness that is biz class on air new zealand in short because of the herringbone forward facing layout you look at other peoples feet whilst seated and b if you have a window seat you have to turn your head 120 degrees to see out of the window on this flight they gave socks as a gift in the business cabin one could assume this is a mitigation strategy for all the visible feet flat bed is very comfortable some staff seem overly busy and rushed later in the flight things seemed better from a service perspective however the little things i have come to expect in business class arent here such as a personal welcome and staff knowing my name food surprisingly good wine unsurprisingly excellent,"slightly unpleasant oddness"" Whilst being at the front of the plane with a flat bed is always much better than otherwise, be prepared for the slightly unpleasant oddness that is biz class on Air New Zealand. In short. Because of the herringbone forward facing layout. You look at other people's feet whilst seated and b. If you have a window seat you have to turn your head 120 degrees to see out of the window. On this flight they gave socks as a gift in the business cabin One could assume this is a mitigation strategy for all the visible feet. Flat bed is very comfortable. Some staff seem overly busy and rushed, later in the flight things seemed better from a service perspective, however the little things i have come to expect in business class arent here. Such as a personal welcome and staff knowing my name. Food, Surprisingly good. Wine unsurprisingly, excellent.",Positive,Positive,Neutral,2024
2024-04-09,suggest avoiding Air New Zealand,1,Couple Leisure,Economy Class,Auckland to Melbourne,March 2024,2.0,1.0,-1.0,1.0,1.0,2.0,1.0,False,,True,suggest avoiding air new zealand i had a concerning experience with air new zealand it seems they prioritize costcutting over customer satisfaction as they will try to switch you to a cheaper flight whenever possible i was put in this situation and had no choice but to accept the change if i wanted to get back home moreover i received poor treatment from their staff which was disappointing and almost discriminatory their customer service did not address my concerns adequately i suggest avoiding air new zealand and suggest looking at other airlines like qantas or jetstar,"suggest avoiding Air New Zealand I had a concerning experience with Air New Zealand. It seems they prioritize cost-cutting over customer satisfaction, as they will try to switch you to a cheaper flight whenever possible. I was put in this situation and had no choice but to accept the change if I wanted to get back home. Moreover, I received poor treatment from their staff, which was disappointing and almost discriminatory. Their customer service did not address my concerns adequately. I suggest avoiding Air New Zealand and suggest looking at other airlines like Qantas or Jetstar.",Negative,Negative,Negative,2024
2024-03-22,Never fly with them again!,1,Family Leisure,Economy Class,Sydney to Christchurch,March 2024,2.0,1.0,1.0,2.0,3.0,1.0,1.0,False,A330,True,never fly with them again i travelled with air newland a number of times in the past and was generally happy with their service but i was very disappointed this time when i took my parents to south island we paid over a700 for return tickets during the 3 hours flights we had to buy the food and drink ourselves it looks that air nz is so desperate for money and greedy in addition the services provided were just as the budget airlines never fly with them again,"Never fly with them again! I travelled with Air Newland a number of times in the past and was generally happy with their service. But I was very disappointed this time when I took my parents to South Island. We paid over A$700 for return tickets, during the 3 hours flights, we had to buy the food and drink ourselves. It looks that Air NZ is so desperate for money and greedy. In addition, the services provided were just as the budget airlines. Never fly with them again!",Negative,Negative,Negative,2024
2024-02-04,A comfortable flight,9,Couple Leisure,Economy Class,Rarotonga to Sydney via Auckland,February 2024,5.0,5.0,5.0,5.0,5.0,-1.0,4.0,True,,True,a comfortable flight a comfortable flight in a well appointed aircraft great range of tv and movies staff professional and regularly offering water we had paid more than the jetstar offering and you do get what you pay for we had booked the works meaning meals and entertainment were included staff were visible great in seeing who did not and who did have the works,"A comfortable flight A comfortable flight in a well appointed aircraft. Great range of TV and movies. Staff professional and regularly offering water. We had paid more than the Jetstar offering and you do get what you pay for. We had booked “the works” meaning meals and entertainment were included. Staff were visible, great in seeing who did not and who did have the works",Positive,Positive,Positive,2024
2024-01-29,Poor communication,2,Solo Leisure,Economy Class,Melbourne to Auckland,January 2024,3.0,4.0,4.0,2.0,1.0,4.0,3.0,False,,True,poor communication 55 hour delay poor communication no vouchers offered customer service only offered apologies which is acceptable for 2 hour delay but this is ridiculous,"Poor communication 5.5 hour delay. Poor communication. No vouchers offered. Customer service only offered apologies, which is acceptable for 2 hour delay but this is ridiculous",Negative,Negative,Negative,2024
2024-01-28,An incredibly painful process,3,Couple Leisure,Economy Class,Christchurch to Los Angeles,December 2023,3.0,4.0,4.0,4.0,4.0,3.0,2.0,False,,False,an incredibly painful process an incredibly painful process i understand that people are very busy but the wait times were so long that my case was passed around multiple agents and it felt like they came to the case without paying any attention to the messages that had already transpired it did not feel like the agents had taken time to read what had already been discussed and the information i was being given was inconsistent depending on who i was talking to i have lost time and money in this process and have come away feeling very frustrated if you didnt have a monopoly on air travel in nz you would have lost a customer today,"An incredibly painful process An incredibly painful process. I understand that people are very busy, but the wait times were so long that my case was passed around multiple agents and it felt like they came to the case without paying any attention to the messages that had already transpired. It did not feel like the agents had taken time to read what had already been discussed and the information I was being given was inconsistent depending on who I was talking to. I have lost time and money in this process and have come away feeling very frustrated. If you didn't have a monopoly on air travel in NZ, you would have lost a customer today.",Negative,Negative,Negative,2024
2024-01-18,again I am disappointed,3,Family Leisure,Economy Class,Auckland to Tokyo,January 2024,2.0,2.0,2.0,3.0,1.0,1.0,1.0,False,,False,again i am disappointed unfortunately again i am disappointed flight to tokyo was delayed due to technical condition of the plane return cancelled with no support no alternative flight explanation etc helpline not working eventually i managed to book a flight with quantas to avoid being stuck in tokyo on my own cost good i have insurance never again as in previous flights to ny anz did similar thing,"again I am disappointed Unfortunately again I am disappointed. Flight to Tokyo was delayed due to technical condition of the plane. Return- cancelled with no support (no alternative flight, explanation, etc). Helpline not working. Eventually I managed to book a flight with Quantas to avoid being stuck in Tokyo on my own cost - good I have insurance. Never again as in previous flights to NY ANZ did similar thing.",Negative,Negative,Negative,2024
2024-01-15,flight credit rather than a refund,1,Solo Leisure,Economy Class,Brisbane to Queenstown,February 2023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,False,flight credit rather than a refund booked flights and the airline cancelled my ticket all i got was flight credit rather than a refund now the prices have gone up and i have to pay almost double for the same flights i originally purchased,"flight credit rather than a refund Booked flights and the airline cancelled my ticket. all I got was flight credit rather than a refund, now the prices have gone up and I have to pay almost double for the same flights I originally purchased.",Positive,Positive,Negative,2024
2024-01-15,customer service was abysmal,1,Family Leisure,Economy Class,Auckland to GIsborne,January 2024,1.0,2.0,-1.0,-1.0,1.0,-1.0,1.0,False,,False,customer service was abysmal my son was on nz8161 to gisborne on 15124 we paid extra as he was an unaccompanied minor harlan pere hes 11 his brother was travelling with him but he is 13 checked in for the flight at special assistance as normal flight was slightly delayed then flight was called lined the boys up in the line but was very surprised as all their previous flights a couple of times a year for the last several years unaccompanied minors have been called first every single time when the boys got to the gate and swiped their boarding passes thats when the gate agent realised there was a minor on the flight kelly the most unprofessional rude and disgustingly inept gate agent i have ever met then decided the boys needed to stand to the side and be boarded last this has never happened before when we queried why they werent called first kelly informed me that air nz never calls for unaccompanied minors before a flight and she had never done this in her 8 years working there this is a lie when i asked to speak to a supervisor she said she was the supervisor when i asked for someone higher up to make a complaint kelly told me she was the highest person when i asked for the name of her supervisor so i could make a complaint she refused to give me this information as well as her last name all of this was getting very loud she was just as loud and i had to tell her several times to listen to what i was saying and not talk over me at this stage there is approx 200 people in the air nz departure lounge listening to this heated discussion as well as the boys who were confused why there were being held back no one explained it to them from air nz i went back to the special assistance desk and they pointed me to the premium check in desk and i spoke to marianne team manager who listened and confirmed that kellys behaviour attitude and customer service was abysmal several people i dont know came up to me after and said it was shocking and i should complain about kelly and her incompetent service mariana did her best to listen but kelly is disgraceful i have paid extra for this service been lied to been yelled at been dismissed and made to feel like we were the issue as we didnt bring him up sooner when we were never informed by special assistance this was now a requirement if the policy has changed which mariana confirmed hadnt or kelly didnt pick up there were unaccompanied minors on the flight all she had to do was apologise and say a mistake was made not flat out argue and lie in front of 200 people that she was right and minors have never been called in her 8 years doing the job,"customer service was abysmal My son was on NZ8161 to Gisborne on 15/1/24. We PAID extra as he was an unaccompanied minor - Harlan Pere. Hes 11 [his brother was travelling with him but he is 13]. Checked in for the flight at special assistance as normal. Flight was slightly delayed. Then flight was called. Lined the boys up in the line but was very surprised as all their previous flights - [a couple of times a year for the last several years] unaccompanied minors have been called first. EVERY SINGLE TIME! When the boys got to the gate and swiped their boarding passes, that's when the gate agent realised there was a minor on the flight. Kelly, the most unprofessional, rude and disgustingly inept gate agent I have ever met, then decided the boys needed to stand to the side and be boarded last. THIS HAS NEVER HAPPENED BEFORE! When we queried why they weren't called first Kelly informed me that Air NZ never calls for unaccompanied minors before a flight and she had never done this in her 8 years working there. THIS IS A LIE! When I asked to speak to a supervisor she said she was the supervisor. When I asked for someone higher up to make a complaint Kelly told me she was the highest person. When I asked for the name of her supervisor so I could make a complaint she refused to give me this information as well as her last name. All of this was getting very loud - she was just as loud, and I had to tell her several times to listen to what I was saying and not talk over me. At this stage there is approx 200 people in the AIR NZ departure lounge listening to this heated discussion. As well as the boys who were confused why there were being held back. No one explained it to them from Air NZ. I went back to the Special assistance desk and they pointed me to the Premium check in desk and I spoke to Marianne - Team Manager - who listened and confirmed that Kellys behaviour, attitude and customer service was abysmal. Several people I don't know came up to me after and said it was shocking and I should complain about Kelly and her incompetent service. Mariana did her best to listen but Kelly is disgraceful. I have paid extra for this service, been lied to, been yelled at, been dismissed and made to feel like we were the issue as we didnt bring him up sooner when we were never informed by Special Assistance this was now a requirement. If the policy has changed [which Mariana confirmed hadn't] or Kelly didn't pick up there were unaccompanied Minors on the flight all she had to do was apologise and say a mistake was made. Not flat out argue and lie in front of 200 people that she was right and MINORS HAVE NEVER BEEN called in her 8 years doing the job.",Positive,Negative,Negative,2024
