date,header,rating,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,wifi_&_connectivity,value_for_money,recommended,inflight_entertainment,verified_status,review_content,textblob_sentiment,vader_sentiment,rating_sentiment,year,departure,departure_country,arrival,arrival_country,via,is_domestic
2024-06-09,not a single aspect this airline does well,1,,Solo Leisure,Economy Class,Auckland to Sydney,June 2024,2.0,2.0,1.0,1.0,2.0,1.0,False,1.0,True,not a single aspect this airline does well these guys shouldnt be allowed to use new zealand its embarrassing and tricks new zealanders into having brand loyalty to them theres not a single aspect this airline does well never thought the day would come when i would say this but youre better off saving some money and flying jetstar,Positive,Positive,Negative,2024,auckland,NZ,sydney,AU,,False
2024-05-18,an airline to avoid,3,,Business,Economy Class,Gold Coast to Auckland,May 2024,3.0,1.0,3.0,2.0,5.0,2.0,False,5.0,True,an airline to avoid i travel often and fly with many airlines air new zealand has to be the worst in condescending service and unnecessary process im writing this review after 5 flights with them in the last 10 days and unfortunately another 3 to go the boarding process is peculiar with word choices such as you can board when invited to be clear i wait till im called and dont understand the notion of people jumping queues but the word choice of invite is the first passive aggressive experience as part of the flight experience a week ago i flew air nz and for the first time in my life i was reprimanded by the hostess for not watching i was listening the in flight safety i told her im listening and she said well you should watch checking in today my bag was 327kg i appreciate there needs to be a limit but theres no discretion im flying business class for a three week trip i then removed a few items and the scale said 320kg i was then told it has to be under 32 which necessitated me to refute that point grudgingly the person then put the case through and gave me the sigh treatment getting onto the flight the first thing the host says is the incoming flights passengers was a 9 out of 10 so you have a high standard to live up to whilst i 100 understand this was meant in humour its symptomatic of an airline that doesnt want to serve these experiences alongside poor food on the flights no pyjamas on overnight business and frankly the weirdest business class layout with no privacy makes this an airline to avoid unless of course you want to feel like youre being done a favour for something you paid for its relatively good value for money at prices that are still stubbornly high but you need to take into consideration the places they skimp on compares very poorly to leaders in the industry such as qatar emirates and singapore air,Negative,Positive,Negative,2024,gold coast,AU,auckland,NZ,,False
2024-05-17,Highly unreliable schedule,1,,Business,Economy Class,Auckland to Melbourne,May 2024,3.0,2.0,1.0,1.0,3.0,1.0,False,1.0,False,highly unreliable schedule highly unreliable schedule with long delays which is my first priority for traveling this business has wasted many hours of my time over the past year and always broke my plans during trips they will be my last choice in future travels,Positive,Negative,Negative,2024,auckland,NZ,melbourne,AU,,False
2024-05-17,Seat was spacious and comfortable,8,Boeing 787,Solo Leisure,Premium Economy,Tokyo to Auckland,May 2024,4.0,4.0,5.0,4.0,-1.0,5.0,True,5.0,True,seat was spacious and comfortable a good easy flight in premium economy seat was spacious and comfortable food was good we were served dinner and breakfast and each meal consisted of a choice of 3 main dishes along with various side dishes they were plentiful and generous and the quality was excellent there was a choice of 5 wines possibly the same selection as economy class served in glassware service was polite and efficient but not particularly warm or energetic but still nothing to complain about the ife was excellent a really good selection of new movies including some great alternative cinema a good flight and departed and arrived on time,Positive,Positive,Positive,2024,tokyo,JP,auckland,NZ,,False
2024-05-12,Air hostess totally ignored myself,5,Boeing 787,Solo Leisure,Economy Class,Denpasar Bali to Auckland,March 2024,4.0,1.0,2.0,3.0,3.0,3.0,False,4.0,True,air hostess totally ignored myself air hostess totally ignored myself and guy behind me spent more time looking at the carpet on the other route hostess were too busy so much for touch screen ordering if it doesnt work then why have it the hostess often walked pass going to forward cabins with drinks etc seats were fine and plane was on time,Positive,Negative,Neutral,2024,denpasar bali,,auckland,NZ,,False
2024-05-12,treated me very disrespectful,6,,Family Leisure,Economy Class,Singapore to Auckland,May 2024,3.0,1.0,4.0,5.0,5.0,3.0,True,5.0,True,treated me very disrespectful i am using the air new zealand from past 20 years one of the cabin crew was very rude when requested for something missing in my plate she treated me very disrespectful and told me they carry limited food on the plane which i understand when i requested to change my sons food she said no no sorry or thank you i felt like she treated me like first time i am on plane rest of the staff fine and they understand the nz level of customer service,Positive,Negative,Neutral,2024,singapore,SG,auckland,NZ,,False
2024-05-04,"slightly unpleasant oddness""",6,Boeing 777-300 ER,Business,Business Class,Sydney to Los Angeles via Auckland,May 2024,4.0,3.0,4.0,2.0,3.0,3.0,False,2.0,True,slightly unpleasant oddness whilst being at the front of the plane with a flat bed is always much better than otherwise be prepared for the slightly unpleasant oddness that is biz class on air new zealand in short because of the herringbone forward facing layout you look at other peoples feet whilst seated and b if you have a window seat you have to turn your head 120 degrees to see out of the window on this flight they gave socks as a gift in the business cabin one could assume this is a mitigation strategy for all the visible feet flat bed is very comfortable some staff seem overly busy and rushed later in the flight things seemed better from a service perspective however the little things i have come to expect in business class arent here such as a personal welcome and staff knowing my name food surprisingly good wine unsurprisingly excellent,Positive,Positive,Neutral,2024,sydney,AU,los angeles,US,Auckland,False
2024-04-09,suggest avoiding Air New Zealand,1,,Couple Leisure,Economy Class,Auckland to Melbourne,March 2024,2.0,1.0,-1.0,1.0,2.0,1.0,False,1.0,True,suggest avoiding air new zealand i had a concerning experience with air new zealand it seems they prioritize costcutting over customer satisfaction as they will try to switch you to a cheaper flight whenever possible i was put in this situation and had no choice but to accept the change if i wanted to get back home moreover i received poor treatment from their staff which was disappointing and almost discriminatory their customer service did not address my concerns adequately i suggest avoiding air new zealand and suggest looking at other airlines like qantas or jetstar,Negative,Negative,Negative,2024,auckland,NZ,melbourne,AU,,False
2024-03-22,Never fly with them again!,1,A330,Family Leisure,Economy Class,Sydney to Christchurch,March 2024,2.0,1.0,1.0,3.0,1.0,1.0,False,2.0,True,never fly with them again i travelled with air newland a number of times in the past and was generally happy with their service but i was very disappointed this time when i took my parents to south island we paid over a700 for return tickets during the 3 hours flights we had to buy the food and drink ourselves it looks that air nz is so desperate for money and greedy in addition the services provided were just as the budget airlines never fly with them again,Negative,Negative,Negative,2024,sydney,AU,christchurch,NZ,,False
2024-02-04,A comfortable flight,9,,Couple Leisure,Economy Class,Rarotonga to Sydney via Auckland,February 2024,5.0,5.0,5.0,5.0,-1.0,4.0,True,5.0,True,a comfortable flight a comfortable flight in a well appointed aircraft great range of tv and movies staff professional and regularly offering water we had paid more than the jetstar offering and you do get what you pay for we had booked the works meaning meals and entertainment were included staff were visible great in seeing who did not and who did have the works,Positive,Positive,Positive,2024,rarotonga,,sydney,AU,Auckland,False
2024-01-29,Poor communication,2,,Solo Leisure,Economy Class,Melbourne to Auckland,January 2024,3.0,4.0,4.0,1.0,4.0,3.0,False,2.0,True,poor communication 55 hour delay poor communication no vouchers offered customer service only offered apologies which is acceptable for 2 hour delay but this is ridiculous,Negative,Negative,Negative,2024,melbourne,AU,auckland,NZ,,False
2024-01-28,An incredibly painful process,3,,Couple Leisure,Economy Class,Christchurch to Los Angeles,December 2023,3.0,4.0,4.0,4.0,3.0,2.0,False,4.0,False,an incredibly painful process an incredibly painful process i understand that people are very busy but the wait times were so long that my case was passed around multiple agents and it felt like they came to the case without paying any attention to the messages that had already transpired it did not feel like the agents had taken time to read what had already been discussed and the information i was being given was inconsistent depending on who i was talking to i have lost time and money in this process and have come away feeling very frustrated if you didnt have a monopoly on air travel in nz you would have lost a customer today,Negative,Negative,Negative,2024,christchurch,NZ,los angeles,US,,False
2024-01-18,again I am disappointed,3,,Family Leisure,Economy Class,Auckland to Tokyo,January 2024,2.0,2.0,2.0,1.0,1.0,1.0,False,3.0,False,again i am disappointed unfortunately again i am disappointed flight to tokyo was delayed due to technical condition of the plane return cancelled with no support no alternative flight explanation etc helpline not working eventually i managed to book a flight with quantas to avoid being stuck in tokyo on my own cost good i have insurance never again as in previous flights to ny anz did similar thing,Negative,Negative,Negative,2024,auckland,NZ,tokyo,JP,,False
2024-01-15,flight credit rather than a refund,1,,Solo Leisure,Economy Class,Brisbane to Queenstown,February 2023,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,-1.0,False,flight credit rather than a refund booked flights and the airline cancelled my ticket all i got was flight credit rather than a refund now the prices have gone up and i have to pay almost double for the same flights i originally purchased,Positive,Positive,Negative,2024,brisbane,AU,queenstown,NZ,,False
2024-01-15,customer service was abysmal,1,,Family Leisure,Economy Class,Auckland to GIsborne,January 2024,1.0,2.0,-1.0,1.0,-1.0,1.0,False,-1.0,False,customer service was abysmal my son was on nz8161 to gisborne on 15124 we paid extra as he was an unaccompanied minor harlan pere hes 11 his brother was travelling with him but he is 13 checked in for the flight at special assistance as normal flight was slightly delayed then flight was called lined the boys up in the line but was very surprised as all their previous flights a couple of times a year for the last several years unaccompanied minors have been called first every single time when the boys got to the gate and swiped their boarding passes thats when the gate agent realised there was a minor on the flight kelly the most unprofessional rude and disgustingly inept gate agent i have ever met then decided the boys needed to stand to the side and be boarded last this has never happened before when we queried why they werent called first kelly informed me that air nz never calls for unaccompanied minors before a flight and she had never done this in her 8 years working there this is a lie when i asked to speak to a supervisor she said she was the supervisor when i asked for someone higher up to make a complaint kelly told me she was the highest person when i asked for the name of her supervisor so i could make a complaint she refused to give me this information as well as her last name all of this was getting very loud she was just as loud and i had to tell her several times to listen to what i was saying and not talk over me at this stage there is approx 200 people in the air nz departure lounge listening to this heated discussion as well as the boys who were confused why there were being held back no one explained it to them from air nz i went back to the special assistance desk and they pointed me to the premium check in desk and i spoke to marianne team manager who listened and confirmed that kellys behaviour attitude and customer service was abysmal several people i dont know came up to me after and said it was shocking and i should complain about kelly and her incompetent service mariana did her best to listen but kelly is disgraceful i have paid extra for this service been lied to been yelled at been dismissed and made to feel like we were the issue as we didnt bring him up sooner when we were never informed by special assistance this was now a requirement if the policy has changed which mariana confirmed hadnt or kelly didnt pick up there were unaccompanied minors on the flight all she had to do was apologise and say a mistake was made not flat out argue and lie in front of 200 people that she was right and minors have never been called in her 8 years doing the job,Positive,Negative,Negative,2024,auckland,NZ,gisborne,NZ,,True
2023-12-29,certainly will not fly them again,1,,Couple Leisure,Economy Class,Christchurch to Auckland,December 2023,3.0,3.0,-1.0,1.0,-1.0,1.0,False,-1.0,True,certainly will not fly them again i would strongly recommend avoiding air new zealand if possible i certainly will not fly them again my experience was so poor that i will go so far as to change my travel plans to avoid flying with them my first concern is the nickel and diming that this greedy airline does for its customer in fact i say air new zealand is worse than spirit airline in this regard your ticket gets you a seat only you need to pay extra for a suitcase a seat to ensure you and anyone you are traveling with can sit together yes they will separate you even if you purchase tickets together and changes even if the other flight has open seats my second concern is the abysmal customer service gate agents are unable to help and require you to leave security for any and all questions my gate agent was lovely enough to yell at me that she would not be able to help me before i even asked my question i wish i was exaggerating my experience with the help desk was worse i waited for 10 minutes as two free agents refused to help the line i also had two separate agents help men before me who walked up to the desk after those of us in line had already been waiting 10 minutes when i did finally get them to be willing to help me they refused to answer my question of how much it would cost to switch flights to an earlier one their response was a condescending too much hun your flight is only in two hours why dont you just wait my third complaint is the lack of respect to inform customers of delays in a timely manner my flight was supposed to board at 140 pm at 135 pm we were informed that the previously flight was arriving late and we would be delayed by an hour note they had also known about this for at least 45 minutes but refused to share the information,Negative,Positive,Negative,2023,christchurch,NZ,auckland,NZ,,True
2023-11-30,flight was superb,9,,Solo Leisure,Economy Class,Chicago to Auckland,November 2023,4.0,5.0,5.0,5.0,4.0,4.0,True,5.0,True,flight was superb id booked air nz being koru but i ended up paying 75euro from dublin so this was disappointing hence the one point down instead of 10 which is very generous as koru isnt cheap i flew along way and still flying air nz tomorrow to get to my island roughly 33 hours flying anyhow to the nz27 flight from the get go the male pursermanager was fantastic all staff in economy treated you like you mattered which is rare spoilt throughout the night to have staff come down the aisles asking if wanted a snack and water and then attended when you requested another drink the rapport already with customers excellent esp with families massive credit to the empathy and compassion to accommodate and treat your clients like each one mattered the ability for me to connect to do my work over the 155 hour flight was superb and the fact we didnt have to pay internet was a great xmas treat thank you so much for restoring faith in the airline albeit its fine re the koru thing but just the service fakaue lahi mahakithank you,Positive,Positive,Positive,2023,chicago,US,auckland,NZ,,False
2023-11-15,change flights with no notice,1,,Business,Business Class,Auckland to Sydney,November 2023,2.0,3.0,1.0,1.0,1.0,1.0,False,2.0,False,change flights with no notice this used to be so good but now they just love their monopoly position and totally ignore customers they change flights with no notice and do not even try to accommodate passengers you are left totally on your own,Positive,Positive,Negative,2023,auckland,NZ,sydney,AU,,False
2023-11-07,Service was very slow,7,Boeing 787-9,Couple Leisure,Economy Class,Singapore to Auckland,October 2023,4.0,5.0,4.0,5.0,2.0,4.0,True,2.0,True,service was very slow a connecting flight at sin we had to change terminals but we had just enough time to board the plane boarding was done by groups first business and gold members and then according the row economy seats were standard there were pillow and blanket and also there were ear phones not great quality on the seats we left the gate on time but were taxing almost 45 minutes service started after one hour and was very slow first serving special meals and then the rest but after almost 20 minutes you had to wait for dinks for a long time there was option of 2 meals and for drinks there was beer and wine and beverages i can not get used to wooden utensils cabin crew was very attending and friendly but there were only 3 on each corridor serving and the rest in the galley ife was limited and outdated should do something better two hours before landing they started second meal and were ok because they were slow so it was just enough time before landing announcements from the pilot was just enough it was an all right flight and if the cabin crew was not so friendly it could be an indifferent flight ife should be upgraded,Positive,Positive,Neutral,2023,singapore,SG,auckland,NZ,,False
2023-11-07,Cabin crew was very friendly,8,A321N,Couple Leisure,Economy Class,Auckland to Queenstown,October 2023,4.0,5.0,3.0,3.0,2.0,4.0,True,-1.0,True,cabin crew was very friendly check in was done by machines and dropping of the suitcase was done by yourself plane was a new and clean a321neo boarding was done from the front door up to raw 15 by aerobridge and the rest rows from the back door with a stair cabin crew was very friendly there was no wifi but there was a bluetooth option service was a coffee water option with cookie or bar option the pilot was describing the route and what we were seeing it was a great flight,Positive,Positive,Positive,2023,auckland,NZ,queenstown,NZ,,True
2023-10-23,shocked at how bad it has become,1,,Solo Leisure,Economy Class,Auckland to Palmerston North,October 2023,2.0,1.0,-1.0,1.0,-1.0,2.0,False,-1.0,False,shocked at how bad it has become air new zealand seems to have slipped badly since i last used the airline i was accompanying an infrequent flyer we printed bag tags at the kiosk there was no indication that there was also a boarding pass printed out no indication of what bag drop to go to no gate number on the boarding pass the service and assistance of air new zealand staff at auckland airport is zero they prefer to stand around chatting to each other and ignore passengers they just wave their arm in the general direction of where youre meant to go no proper instructions when i said that it was a shoddy system the staff member just laughed and said move along the staff i spoke to were very rude and dismissive also the staff member at the gate did not take kindly to being asked whether passengers could go to the gate there is no information on what bag drop to go to constantly had to walk around looking for staff to ask who waved in the general direction of a bag drop or where to find the gate reference i have heard that air new zealand service has deteriorated but was shocked at how bad it has become,Negative,Negative,Negative,2023,auckland,NZ,palmerston north,NZ,,True
2023-10-22,Will not fly again,1,,Business,Business Class,Auckland to Tokyo,October 2023,1.0,3.0,1.0,1.0,2.0,1.0,False,2.0,False,will not fly again pick up your own bags each connecting flight pay high money for the ticket but dont expect the airline to send your luggage to your final destination company is cheap and will probably face problems anyway will not fly again,Positive,Negative,Negative,2023,auckland,NZ,tokyo,JP,,False
2023-10-20,incapable of leaving on time,5,A321,Couple Leisure,Economy Class,Auckland to Sydney,October 2023,4.0,4.0,-1.0,5.0,4.0,3.0,False,-1.0,False,incapable of leaving on time this airline is incapable of leaving on time this is my 4th flight in one week all have left late one by an hour they cant even meet their own revised times sydney to auckland last week was delayed from 920 to 10am 3 hours before pushed back around 1020 aucklandsydney today at 755pm was delayed to 820pm around 755 its now 830 and were still not pushed back,Positive,Negative,Neutral,2023,auckland,NZ,sydney,AU,,False
2023-10-08,service became terrible since Covid-19,1,Boeing 787,Business,Economy Class,Auckland to Singapore,October 2023,3.0,1.0,1.0,1.0,1.0,1.0,False,1.0,True,service became terrible since covid19 i have been flying only on air new zealand for business and it will be the last time the service became terrible since covid19 the recognition upgrade are not processed in time for frequent flyers arrogant aircrew when you raise the issue,Negative,Negative,Negative,2023,auckland,NZ,singapore,SG,,False
2023-10-06,total lack of empathy and compassion,1,,Family Leisure,Economy Class,Wellington to Auckland,October 2023,1.0,-1.0,-1.0,1.0,-1.0,1.0,False,-1.0,False,total lack of empathy and compassion my 19 year old daughters domestic flight home from wellington was cancelled twice leaving her stranded in the airport overnight she tried to explain to air nz staff that she was travelling alone and had no money to stay in the airport hotels the response was as per our policy we are not obligated to provide you with overnight accommodation as the flights are canceled due to weather conditions i tried calling the customer service line on her behalf and waited an hour to speak to a human being when i explained that she had an urgent medical appointment the next day and that she suffered from anxiety and other mental health issues the customer service rep rang and spoke to the team leader at the airport to ask if they could at least sort somewhere for her to stay the team leader then informed my daughter that she would need to stay in the airport and return to the desk the following morning and they would try get her on a flight so she could make her medical appointment when my daughter asked if she could at least gain access to the koru lounge as she was scared of being alone she was told no feeling totally overwhelmed stressed to the max and upset she was left totally alone in the airport terminal overnight as the air nz staff went home a kind security guard fetched her a blanket and a policeman stopped to ask if she was ok as she lay on the ground trying to get some rest in an empty terminal she was even asked to move from the couch outside the rydges wellington airport hotel and told it wasnt a good look for the hotel having someone lying down at 3am in the morning the morning flight was full so she ended up missing her appointment and receiving the treatment she desperately needed and spent a total of 24 hours marooned at the airport alone whether your policy states you are not obliged to offer accommodation air nz shame on you for leaving a vulnerable young woman alone in the airport as a parent im disgusted at your total lack of empathy and compassion i will not be using air nz again if there is another alternative,Negative,Negative,Negative,2023,wellington,NZ,auckland,NZ,,True
2023-10-02,airline has declined significantly,1,,Family Leisure,Economy Class,Melbourne to Los Angeles via Auckland,September 2023,2.0,1.0,1.0,1.0,1.0,1.0,False,-1.0,True,airline has declined significantly my tickets clearly stated 2 x 23kgs checked bags per person but on check in on the first flight we were told we could only check one bag each after some time and effort we did manage to get our bags checked i asked would we have issues on the other 3 flights we had booked was was told yes even though the ticket is clear i called customer service and was directed to leave a voicemail and someone would ring me back within 72 hours there has been no reply 19 days later i called again the day before we were due to check in on the next leg of our trip customer service is very busy for air new zealand and once you get through it takes on hour on hold to get to speak to someone the person spent an hour looking at the issue and advised he had fixed it and there would be no issue at the next check in he even confirmed in a voice mail but when we arrived at the airport we were made to pay for the bags and was advised we were only entitled to one checked bag each i showed the tickets and asked that they look on the computer as a note had been left all to no avail so we paid 88 us per extra bag and then tried to claim this back from air new zealand i managed to make contact with the cfo and was assured a refund would occur that day and that we would have no further issues i got the refund a week later after chasing it up myself at the next airport we were again asked to pay for the bags and would have paid if it wasnt for a lovely staff member from the codeshare airline who out the bags through as checked hand luggage which she could put through as free i again contacted air new zealand and they just make assurances this will never happen again but they are 3 for 3 so far they offered 150 airport dollars to spend on a future flight with air new zealand which we will obviously never use on the outgoing long haul flight auckland to los angeles there was no water or snacks offered i managed to get a total of just 600 mls of fluid across the 13 hours they did offer as much wine as you could drink but i dont drink and alcohol is dehydrated anyway we also paid for stretch seats where you should have more leg room but in these seats you board last so there was no overhead locker space as many passengers took on 2 x hand luggage to be stowed above our paid for space was filled with our one hand luggage bag this airline has declined significantly from when we last used them the stretch seats are not worth the additional costs they are unable to fix the baggage allocations on your ticket and that they advertise on the website with the check in computers and do not care i would never use this airline its just not worth it,Positive,Positive,Negative,2023,melbourne,AU,los angeles,US,Auckland,False
2023-09-18,pure and simply daylight robbery,4,,Couple Leisure,Economy Class,Sydney to Queenstown,July 2023,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,False,-1.0,True,pure and simply daylight robbery my wife and i fly regularly with air nz back and forth to queenstown we have flights for december 2nd 2023 and we now want to leave on november 30th 2023 our original flight costs are 54162 in total for one way flights for both passengers but when we go to change the dates by three days air nz are asking for a change fee of 60172 to make the change this is pure and simply daylight robbery furthermore the website will let you book a car hotel and many other options but you cannot cancel and credit the flight online,Positive,Neutral,Neutral,2023,sydney,AU,queenstown,NZ,,False
2023-09-14,customer service has severely declined,3,,Business,Economy Class,Auckland to Melbourne,September 2023,2.0,3.0,2.0,2.0,1.0,2.0,False,2.0,True,customer service has severely declined air new zealands customer service has severely declined its not easy to contact them through multiple channels in my recent flights with them they have cancelled multiple flights and lost baggage without providing any proactive compensation i cant recommend them any more now we have made it a theme of our trips to allow the first day to accommodate delays and file insurance claims they have screwed up their omni channel customer service and as an elite passenger you have no means of communicating with them any faster than anyone else regardless all channels are super slow and most of the time youll be waiting hours on the phone and you wont get any responses through chat,Positive,Negative,Negative,2023,auckland,NZ,melbourne,AU,,False
2023-09-08,experience such a memorable one,10,,Couple Leisure,Economy Class,Houston to Auckland,August 2023,5.0,5.0,5.0,5.0,5.0,5.0,True,5.0,True,experience such a memorable one houston to auckland i was travelling to new zealand for my ankle surgery my ankle was swollen from my previous flight but i am so glad rob was on this flight he kept checking on me to make sure i was comfortable i was so glad he was there to help me once everyone boarded the flight he advised me that i could keep my leg elevated during my almost 15 hour flight as the seats were empty made sure i had enough water to take my medication throughout the whole flight he made this experience such a memorable one and i have never used air new zealand for overseas travel but from this experience i will definitely be using air new zealand the seats were so comfy a lot more room than any other flights i used previously thank you rob keep being amazing,Positive,Positive,Positive,2023,houston,US,auckland,NZ,,False
2023-09-08,Staff were so accommodating,8,,Solo Leisure,Economy Class,Christchurch to Invercargill,September 2023,3.0,5.0,3.0,5.0,-1.0,5.0,True,-1.0,True,staff were so accommodating staff were so accommodating after having a back operation i required wheelchair assistance staff could not have been more friendly and helpful getting me on an earlier flight so as not to sit so long a difficult flight made easier by the nz staff,Positive,Positive,Positive,2023,christchurch,NZ,invercargill,NZ,,True
